"Year-Month, Number of Tractor Sold"
"2003-1,141"
"2003-2,157"
"2003-3,185"
"2003-4,199"
"2003-5,203"
"2003-6,189"
"2003-7,207"
"2003-8,207"
"2003-9,171"
"2003-10,150"
"2003-11,138"
"2003-12,165"
"2004-1,145"
"2004-2,168"
"2004-3,197"
"2004-4,208"
"2004-5,210"
"2004-6,209"
"2004-7,238"
"2004-8,238"
"2004-9,199"
"2004-10,168"
"2004-11,152"
"2004-12,196"
"2005-1,183"
"2005-2,200"
"2005-3,249"
"2005-4,251"
"2005-5,289"
"2005-6,249"
"2005-7,279"
"2005-8,279"
"2005-9,232"
"2005-10,204"
"2005-11,194"
"2005-12,232"
"2006-1,215"
"2006-2,239"
"2006-3,270"
"2006-4,279"
"2006-5,307"
"2006-6,305"
"2006-7,322"
"2006-8,339"
"2006-9,263"
"2006-10,241"
"2006-11,229"
"2006-12,272"
"2007-1,247"
"2007-2,261"
"2007-3,330"
"2007-4,362"
"2007-5,385"
"2007-6,340"
"2007-7,370"
"2007-8,381"
"2007-9,299"
"2007-10,266"
"2007-11,239"
"2007-12,281"
"2008-1,257"
"2008-2,250"
"2008-3,329"
"2008-4,350"
"2008-5,393"
"2008-6,370"
"2008-7,423"
"2008-8,410"
"2008-9,326"
"2008-10,289"
"2008-11,270"
"2008-12,321"
"2009-1,305"
"2009-2,310"
"2009-3,374"
"2009-4,414"
"2009-5,454"
"2009-6,441"
"2009-7,510"
"2009-8,486"
"2009-9,393"
"2009-10,345"
"2009-11,315"
"2009-12,389"
"2010-1,358"
"2010-2,368"
"2010-3,444"
"2010-4,482"
"2010-5,534"
"2010-6,524"
"2010-7,578"
"2010-8,567"
"2010-9,447"
"2010-10,386"
"2010-11,360"
"2010-12,428"
"2011-1,397"
"2011-2,400"
"2011-3,498"
"2011-4,536"
"2011-5,596"
"2011-6,591"
"2011-7,651"
"2011-8,654"
"2011-9,509"
"2011-10,437"
"2011-11,406"
"2011-12,470"
"2012-1,428"
"2012-2,423"
"2012-3,507"
"2012-4,536"
"2012-5,610"
"2012-6,609"
"2012-7,687"
"2012-8,707"
"2012-9,509"
"2012-10,452"
"2012-11,412"
"2012-12,472"
"2013-1,454"
"2013-2,455"
"2013-3,568"
"2013-4,610"
"2013-5,706"
"2013-6,661"
"2013-7,767"
"2013-8,783"
"2013-9,583"
"2013-10,513"
"2013-11,481"
"2013-12,567"
"2014-1,525"
"2014-2,520"
"2014-3,587"
"2014-4,710"
"2014-5,793"
"2014-6,749"
"2014-7,871"
"2014-8,848"
"2014-9,640"
"2014-10,581"
"2014-11,519"
"2014-12,605"
